ipython      --高级python终端
ptpython     --友好的python终端
chardet      --编码检测
colorama     --输出颜色
yapf         --python代码格式化
jieba        --中文分词库
pypinyin     --中文转拼音库
fuzzywuzzy   --字符串模糊匹配库
qrcode       --二维码生成库
httpie       --http命令行客户端
you-get      --视频站视频下载库
youtube-dl   --视频站视频下载库
itchat       --微信API
Pillow       --图像操作库
openpyxl     --excel读写库
pexpect      --交互式终端expect的python版
paramiko     --基于SSH远程登陆库，pexpect之上的封装
invoke       --基于SSH的应用部署和系统管理库，paramiko之上的封装，fabric的后续版
psutil       --系统监控和资源管理库
IPy			 --IP辅助管理库
retrying     --函数重试库
pysocks      --socks代理支持
pycurl       --curl的python封装
scapy        --交互式数据包处理库
numpy        --科学计算库
pyshark      --wireshark的python接口
pyvmomi      --vmware虚拟化操作库
selenium     --web浏览器自动化测试库
Flask        --轻量级web框架
lxml         --html和xml解析库
pyquery      --jquery的python版
html2text    --将html内容转换为易于阅读的Markdown格式txt
pypandoc     --支持多种文件格式的互相转换
pywin32      --windows的api库
pyHook       --鼠标键盘监听库
PyUserInput  --鼠标键盘模拟库
PyMySQL      --mysql连接库
cx-Oracle    --oracle连接库
pysql        --友好的sqlplus替代品
pyqt5        --python的QT图形库

